num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000056,2025-01-01T00:00:00Z,00:49,call. lopez de hoyos / call. ros de olano,140,5,chamartin,colision fronto-lateral,despejado,ciclomotor,conductor,30-34,H,7,asistencia sanitaria sólo en el lugar del accidente,442966,4477385,N,
2025S000056,2025-01-01T00:00:00Z,00:49,call. lopez de hoyos / call. ros de olano,140,5,chamartin,colision fronto-lateral,despejado,turismo,conductor,40-44,H,14,sin asistencia sanitaria,442966,4477385,N,
2025S000056,2025-01-01T00:00:00Z,00:49,call. lopez de hoyos / call. ros de olano,140,5,chamartin,colision fronto-lateral,despejado,turismo,pasajero,40-44,M,14,sin asistencia sanitaria,442966,4477385,N,
2025S000057,2025-01-01T00:00:00Z,02:20,gta. rio zancara / call. arroyo de pozuelo,1,9,moncloa-aravaca,colision lateral,despejado,turismo,conductor,21-24,H,,,433911,4478290,N,
2025S000057,2025-01-01T00:00:00Z,02:20,gta. rio zancara / call. arroyo de pozuelo,1,9,moncloa-aravaca,colision lateral,despejado,turismo,conductor,45-49,H,,,433911,4478290,N,
2025S000058,2025-01-01T00:00:00Z,03:18,"call. gallur, 489",489,10,latina,choque contra obstaculo fijo,despejado,turismo,conductor,18-20,H,14,sin asistencia sanitaria,437019,4471984,S,
2025S000060,2025-01-01T00:00:00Z,04:00,call. luchana / call. eguilaz,16,7,chamberi,colision lateral,despejado,maquinaria de obras,conductor,55-59,H,,,440567,4475699,N,
2025S000060,2025-01-01T00:00:00Z,04:00,call. luchana / call. eguilaz,16,7,chamberi,colision lateral,despejado,turismo,conductor,desconocido,Desconocido,,,440567,4475699,N,
2025S000061,2025-01-01T00:00:00Z,03:30,"avda. pablo iglesias, 50",50,6,tetuan,colision fronto-lateral,,turismo,conductor,50-54,H,,,439772,4477959,N,
2025S000061,2025-01-01T00:00:00Z,03:30,"avda. pablo iglesias, 50",50,6,tetuan,colision fronto-lateral,,turismo,conductor,desconocido,Desconocido,,,439772,4477959,N,
2025S000063,2025-01-01T00:00:00Z,06:58,"call. princesa, 28",28,1,centro,alcance,despejado,motocicleta hasta 125cc,conductor,30-34,H,14,sin asistencia sanitaria,439427,4475473,S,
2025S000063,2025-01-01T00:00:00Z,06:58,"call. princesa, 28",28,1,centro,alcance,despejado,motocicleta hasta 125cc,pasajero,35-39,M,,,439427,4475473,N,
2025S000063,2025-01-01T00:00:00Z,06:58,"call. princesa, 28",28,1,centro,alcance,despejado,turismo,conductor,40-44,H,14,sin asistencia sanitaria,439427,4475473,N,
2025S000064,2025-01-01T00:00:00Z,07:10,paseo. artilleros / call. calahorra,6,19,vicalvaro,choque contra obstaculo fijo,,turismo,conductor,30-34,M,,,448291,4473199,S,
